Time,Data
0,15
0.01,15
0.02,15
0.03,15
0.04,15
0.05,15
0.06,15
0.07,15
0.08,15
0.09,15
0.1,15
0.11,15
0.12,14.9375
0.13,14.9375
0.14,14.9375
0.15,14.9375
0.16,14.9375
0.17,14.9375
0.18,14.9375
0.19,14.9375
0.2,14.9375
0.21,14.875
0.22,14.875
0.23,14.875
0.24,14.875
0.25,14.875
0.26,14.875
0.27,14.8125
0.28,14.8125
0.29,14.8125
0.3,14.8125
0.31,14.8125
0.32,14.75
0.33,14.75
0.34,14.75
0.35,14.75
0.36,14.75
0.37,14.6875
0.38,14.6875
0.39,14.6875
0.4,14.6875
0.41,14.625
0.42,14.625
0.43,14.625
0.44,14.625
0.45,14.5625
0.46,14.5625
0.47,14.5625
0.48,14.5
0.49,14.5
0.5,14.5
0.51,14.4375
0.52,14.4375
0.53,14.4375
0.54,14.4375
0.55,14.375
0.56,14.375
0.57,14.375
0.58,14.3125
0.59,14.3125
0.6,14.3125
0.61,14.25
0.62,14.25
0.63,14.25
0.64,14.1875
0.65,14.1875
0.66,14.125
0.67,14.125
0.68,14.125
0.69,14.0625
0.7,14.0625
0.71,14.0625
0.72,14
0.73,14
0.74,13.9375
0.75,13.9375
0.76,13.9375
0.77,13.875
0.78,13.875
0.79,13.8125
0.8,13.8125
0.81,13.8125
0.82,13.75
0.83,13.75
0.84,13.6875
0.85,13.6875
0.86,13.625
0.87,13.625
0.88,13.625
0.89,13.5625
0.9,13.5625
0.91,13.5
0.92,13.5
0.93,13.4375
0.94,13.4375
0.95,13.375
0.96,13.375
0.97,13.375
0.98,13.3125
0.99,13.3125
1,13.25
1.01,13.25
1.02,13.1875
1.03,13.1875
1.04,13.125
1.05,13.125
1.06,13.0625
1.07,13.0625
1.08,13
1.09,13
1.1,12.9375
1.11,12.9375
1.12,12.875
1.13,12.875
1.14,12.8125
1.15,12.8125
1.16,12.75
1.17,12.75
1.18,12.6875
1.19,12.6875
1.2,12.625
1.21,12.625
1.22,12.5625
1.23,12.5625
1.24,12.5
1.25,12.5
1.26,12.4375
1.27,12.4375
1.28,12.375
1.29,12.375
1.3,12.3125
1.31,12.3125
1.32,12.25
1.33,12.1875
1.34,12.1875
1.35,12.125
1.36,12.125
1.37,12.0625
1.38,12.0625
1.39,12
1.4,12
1.41,11.9375
1.42,11.9375
1.43,11.875
1.44,11.8125
1.45,11.8125
1.46,11.75
1.47,11.75
1.48,11.6875
1.49,11.6875
1.5,11.625
1.51,11.625
1.52,11.5625
1.53,11.5
1.54,11.5
1.55,11.4375
1.56,11.4375
1.57,11.375
1.58,11.375
1.59,11.3125
1.6,11.25
1.61,11.25
1.62,11.1875
1.63,11.1875
1.64,11.125
1.65,11.125
1.66,11.0625
1.67,11
1.68,11
1.69,10.9375
1.7,10.9375
1.71,10.875
1.72,10.875
1.73,10.8125
1.74,10.75
1.75,10.75
1.76,10.6875
1.77,10.6875
1.78,10.625
1.79,10.5625
1.8,10.5625
1.81,10.5
1.82,10.5
1.83,10.4375
1.84,10.4375
1.85,10.375
1.86,10.3125
1.87,10.3125
1.88,10.25
1.89,10.25
1.9,10.1875
1.91,10.125
1.92,10.125
1.93,10.0625
1.94,10.0625
1.95,10
1.96,10
1.97,9.9375
1.98,9.875
1.99,9.875
2,9.8125
2.01,9.8125
2.02,9.75
2.03,9.6875
2.04,9.6875
2.05,9.625
2.06,9.625
2.07,9.5625
2.08,9.5
2.09,9.5
2.1,9.4375
2.11,9.4375
2.12,9.375
2.13,9.375
2.14,9.3125
2.15,9.25
2.16,9.25
2.17,9.1875
2.18,9.1875
2.19,9.125
2.2,9.0625
2.21,9.0625
2.22,9
2.23,9
2.24,8.9375
2.25,8.9375
2.26,8.875
2.27,8.8125
2.28,8.8125
2.29,8.75
2.3,8.75
2.31,8.6875
2.32,8.625
2.33,8.625
2.34,8.5625
2.35,8.5625
2.36,8.5
2.37,8.5
2.38,8.4375
2.39,8.375
2.4,8.375
2.41,8.3125
2.42,8.3125
2.43,8.25
2.44,8.25
2.45,8.1875
2.46,8.125
2.47,8.125
2.48,8.0625
2.49,8.0625
2.5,8
2.51,8
2.52,7.9375
2.53,7.875
2.54,7.875
2.55,7.8125
2.56,7.8125
2.57,7.75
2.58,7.75
2.59,7.6875
2.6,7.625
2.61,7.625
2.62,7.5625
