Time,Data
0,5.625
0.01,5.625
0.02,5.625
0.03,5.625
0.04,5.625
0.05,5.625
0.06,5.625
0.07,5.625
0.08,5.625
0.09,5.625
0.1,5.625
0.11,5.625
0.12,5.625
0.13,5.625
0.14,5.625
0.15,5.625
0.16,5.625
0.17,5.625
0.18,5.625
0.19,5.625
0.2,5.625
0.21,5.625
0.22,5.625
0.23,5.625
0.24,5.625
0.25,5.625
0.26,5.625
0.27,5.625
0.28,5.625
0.29,5.625
0.3,5.625
0.31,5.625
0.32,5.625
0.33,5.625
0.34,5.625
0.35,5.625
0.36,5.625
0.37,5.625
0.38,5.625
0.39,5.625
0.4,5.625
0.41,5.625
0.42,5.625
0.43,5.625
0.44,5.625
0.45,5.625
0.46,5.625
0.47,5.625
0.48,5.625
0.49,5.625
0.5,5.625
0.51,5.625
0.52,5.625
0.53,5.625
0.54,5.625
0.55,5.625
0.56,5.625
0.57,5.625
0.58,5.625
0.59,5.625
0.6,5.625
0.61,5.625
0.62,5.625
0.63,5.625
0.64,5.625
0.65,5.625
0.66,5.4375
0.67,5.625
0.68,5.625
0.69,5.4375
0.7,5.4375
0.71,5.4375
0.72,5.4375
0.73,5.4375
0.74,5.4375
0.75,5.4375
0.76,5.4375
0.77,5.4375
0.78,5.4375
0.79,5.4375
0.8,5.4375
0.81,5.4375
0.82,5.4375
0.83,5.4375
0.84,5.4375
0.85,5.4375
0.86,5.4375
0.87,5.4375
0.88,5.4375
0.89,5.4375
0.9,5.4375
0.91,5.4375
0.92,5.4375
0.93,5.4375
0.94,5.4375
0.95,5.25
0.96,5.4375
0.97,5.4375
0.98,5.25
0.99,5.25
1,5.25
1.01,5.25
1.02,5.25
1.03,5.25
1.04,5.25
1.05,5.25
1.06,5.25
1.07,5.25
1.08,5.25
1.09,5.25
1.1,5.25
1.11,5.25
1.12,5.25
1.13,5.25
1.14,5.25
1.15,5.25
1.16,5.25
1.17,5.25
1.18,5.0625
1.19,5.25
1.2,5.0625
1.21,5.0625
1.22,5.0625
1.23,5.0625
1.24,5.0625
1.25,5.0625
1.26,5.0625
1.27,5.0625
1.28,5.0625
1.29,5.0625
1.3,5.0625
1.31,5.0625
1.32,5.0625
1.33,5.0625
1.34,5.0625
1.35,5.0625
1.36,5.0625
1.37,5.0625
1.38,5.0625
1.39,4.875
1.4,4.875
1.41,4.875
1.42,4.875
1.43,4.875
1.44,4.875
1.45,4.875
1.46,4.875
1.47,4.875
1.48,4.875
1.49,4.875
1.5,4.875
1.51,4.875
1.52,4.875
1.53,4.875
1.54,4.875
1.55,4.875
1.56,4.875
1.57,4.6875
1.58,4.6875
1.59,4.6875
1.6,4.6875
1.61,4.6875
1.62,4.6875
1.63,4.6875
1.64,4.6875
1.65,4.6875
1.66,4.6875
1.67,4.6875
1.68,4.6875
1.69,4.6875
1.7,4.6875
1.71,4.6875
1.72,4.6875
1.73,4.6875
1.74,4.5
1.75,4.5
1.76,4.5
1.77,4.5
1.78,4.5
1.79,4.5
1.8,4.5
1.81,4.5
1.82,4.5
1.83,4.5
1.84,4.5
1.85,4.5
1.86,4.5
1.87,4.5
1.88,4.5
1.89,4.5
1.9,4.5
1.91,4.3125
1.92,4.3125
1.93,4.3125
1.94,4.3125
1.95,4.3125
1.96,4.3125
1.97,4.3125
1.98,4.3125
1.99,4.3125
2,4.3125
2.01,4.3125
2.02,4.3125
2.03,4.3125
2.04,4.3125
2.05,4.3125
2.06,4.3125
2.07,4.125
2.08,4.125
2.09,4.125
2.1,4.125
2.11,4.125
2.12,4.125
2.13,4.125
2.14,4.125
2.15,4.125
2.16,4.125
2.17,4.125
2.18,4.125
2.19,4.125
2.2,4.125
2.21,4.125
2.22,4.125
2.23,4.125
2.24,3.9375
2.25,3.9375
2.26,3.9375
2.27,3.9375
2.28,3.9375
2.29,3.9375
2.3,3.9375
2.31,3.9375
2.32,3.9375
2.33,3.9375
2.34,3.9375
2.35,3.9375
2.36,3.9375
2.37,3.9375
2.38,3.9375
2.39,3.75
2.4,3.75
2.41,3.75
2.42,3.75
2.43,3.75
2.44,3.75
2.45,3.75
2.46,3.75
2.47,3.75
2.48,3.75
2.49,3.75
2.5,3.75
2.51,3.75
2.52,3.75
2.53,3.75
2.54,3.75
2.55,3.75
2.56,3.75
2.57,3.5625
2.58,3.5625
2.59,3.5625
2.6,3.5625
2.61,3.5625
2.62,3.5625
2.63,3.5625
2.64,3.5625
2.65,3.5625
2.66,3.5625
2.67,3.5625
2.68,3.5625
2.69,3.5625
2.7,3.5625
2.71,3.5625
2.72,3.5625
2.73,3.375
2.74,3.375
2.75,3.375
2.76,3.375
2.77,3.375
2.78,3.375
2.79,3.375
2.8,3.375
2.81,3.375
2.82,3.375
2.83,3.375
2.84,3.375
2.85,3.375
2.86,3.375
2.87,3.375
2.88,3.375
2.89,3.375
2.9,3.1875
2.91,3.1875
2.92,3.1875
2.93,3.1875
2.94,3.1875
2.95,3.1875
2.96,3.1875
2.97,3.1875
2.98,3.1875
2.99,3.1875
3,3.1875
3.01,3.1875
3.02,3.1875
3.03,3.1875
3.04,3.1875
3.05,3.1875
3.06,3.1875
3.07,3
3.08,3
3.09,3
3.1,3
3.11,3
3.12,3
3.13,3
3.14,3
3.15,3
3.16,3
3.17,3
3.18,3
3.19,3
3.2,3
3.21,3
3.22,3
3.23,3
3.24,2.8125
3.25,2.8125
3.26,2.8125
3.27,2.8125
3.28,2.8125
3.29,2.8125
3.3,2.8125
3.31,2.8125
3.32,2.8125
3.33,2.8125
3.34,2.8125
3.35,2.8125
3.36,2.8125
3.37,2.8125
3.38,2.8125
3.39,2.8125
3.4,2.8125
3.41,2.8125
3.42,2.8125
3.43,2.625
3.44,2.625
3.45,2.625
3.46,2.625
3.47,2.625
3.48,2.625
3.49,2.625
3.5,2.625
3.51,2.625
3.52,2.625
3.53,2.625
3.54,2.625
3.55,2.625
3.56,2.625
3.57,2.625
3.58,2.625
3.59,2.625
3.6,2.625
3.61,2.625
3.62,2.4375
3.63,2.4375
3.64,2.4375
3.65,2.4375
3.66,2.4375
3.67,2.4375
3.68,2.4375
3.69,2.4375
3.7,2.4375
3.71,2.4375
3.72,2.4375
3.73,2.4375
3.74,2.4375
3.75,2.4375
3.76,2.4375
3.77,2.4375
3.78,2.4375
3.79,2.4375
3.8,2.4375
3.81,2.4375
3.82,2.25
3.83,2.25
3.84,2.25
3.85,2.25
3.86,2.25
3.87,2.25
3.88,2.25
3.89,2.25
3.9,2.25
3.91,2.25
3.92,2.25
3.93,2.25
3.94,2.25
3.95,2.25
3.96,2.25
3.97,2.25
3.98,2.25
3.99,2.25
4,2.25
4.01,2.25
4.02,2.25
4.03,2.25
4.04,2.0625
4.05,2.0625
4.06,2.0625
4.07,2.0625
4.08,2.0625
4.09,2.0625
4.1,2.0625
4.11,2.0625
4.12,2.0625
4.13,2.0625
4.14,2.0625
4.15,2.0625
4.16,2.0625
4.17,2.0625
4.18,2.0625
4.19,2.0625
4.2,2.0625
4.21,2.0625
4.22,2.0625
4.23,2.0625
4.24,2.0625
4.25,1.875
4.26,1.875
4.27,1.875
4.28,1.875
4.29,1.875
4.3,1.875
4.31,1.875
4.32,1.875
4.33,1.875
4.34,1.875
4.35,1.875
4.36,1.875
4.37,1.875
4.38,1.875
4.39,1.875
4.4,1.875
4.41,1.875
4.42,1.875
4.43,1.875
4.44,1.875
4.45,1.875
4.46,1.875
4.47,1.875
4.48,1.875
4.49,1.6875
4.5,1.6875
4.51,1.6875
4.52,1.6875
4.53,1.6875
4.54,1.6875
4.55,1.6875
4.56,1.6875
4.57,1.6875
4.58,1.6875
4.59,1.6875
4.6,1.6875
4.61,1.6875
4.62,1.6875
4.63,1.6875
4.64,1.6875
4.65,1.6875
4.66,1.6875
4.67,1.6875
4.68,1.6875
4.69,1.6875
4.7,1.6875
4.71,1.6875
4.72,1.6875
4.73,1.5
4.74,1.5
4.75,1.5
4.76,1.5
4.77,1.5
4.78,1.5
4.79,1.5
4.8,1.5
4.81,1.5
4.82,1.5
4.83,1.5
4.84,1.5
4.85,1.5
4.86,1.5
4.87,1.5
4.88,1.5
4.89,1.5
4.9,1.5
4.91,1.5
4.92,1.5
4.93,1.5
4.94,1.5
4.95,1.5
4.96,1.5
4.97,1.5
4.98,1.5
4.99,1.5
5,1.5
5.01,1.5
5.02,1.5
5.03,1.3125
5.04,1.3125
5.05,1.3125
5.06,1.3125
5.07,1.3125
5.08,1.3125
5.09,1.3125
5.1,1.3125
5.11,1.3125
5.12,1.3125
5.13,1.3125
5.14,1.3125
5.15,1.3125
5.16,1.3125
5.17,1.3125
5.18,1.3125
5.19,1.3125
5.2,1.3125
5.21,1.3125
5.22,1.3125
5.23,1.3125
5.24,1.3125
5.25,1.3125
5.26,1.3125
5.27,1.3125
5.28,1.3125
5.29,1.3125
5.3,1.3125
5.31,1.3125
5.32,1.125
5.33,1.125
5.34,1.125
5.35,1.125
5.36,1.125
5.37,1.125
5.38,1.125
5.39,1.125
5.4,1.125
5.41,1.125
5.42,1.125
5.43,1.125
5.44,1.125
5.45,1.125
5.46,1.125
5.47,1.125
5.48,1.125
5.49,1.125
5.5,1.125
5.51,1.125
5.52,1.125
5.53,1.125
5.54,1.125
5.55,1.125
5.56,1.125
5.57,1.125
5.58,1.125
5.59,1.125
5.6,1.125
5.61,1.125
5.62,1.125
5.63,1.125
5.64,1.125
5.65,1.125
5.66,0.9375
5.67,0.9375
5.68,0.9375
5.69,0.9375
5.7,0.9375
5.71,0.9375
5.72,0.9375
5.73,0.9375
5.74,0.9375
5.75,0.9375
5.76,0.9375
5.77,0.9375
5.78,0.9375
5.79,0.9375
5.8,0.9375
5.81,0.9375
5.82,0.9375
5.83,0.9375
5.84,0.9375
5.85,0.9375
5.86,0.9375
5.87,0.9375
5.88,0.9375
5.89,0.9375
5.9,0.9375
5.91,0.9375
5.92,0.9375
5.93,0.9375
5.94,0.9375
5.95,0.9375
5.96,0.9375
5.97,0.9375
5.98,0.9375
